=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-1-26_14-2-42
====================================================================================
14:2:42 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
14:2:42 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
14:2:42 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
14:2:42 | [PermissionManager] Perm (MenuBansManager) has been registered!
14:2:42 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
14:2:42 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
14:2:42 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
14:2:42 | [PermissionManager] Perm (MenuWebHooks) has been registered!
14:2:42 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
14:2:42 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
14:2:42 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
14:2:42 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
14:2:42 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
14:2:42 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
14:2:42 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
14:2:42 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
14:2:42 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
14:2:42 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
14:2:42 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
14:2:42 | [PermissionManager] Perm (EspToolsMenu) has been registered!
14:2:42 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
14:2:42 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
14:2:42 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
14:2:42 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
14:2:42 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
14:2:42 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
14:2:42 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
14:2:42 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
14:2:42 | [PermissionManager] Perm (TerjePlayerManager) has been registered!
14:2:42 | [PermissionManager] Adding Super Admin (76561198104182080)
14:2:42 | [PermissionManager] Loaded UserGroups.json
14:2:42 | [PermissionManager] Perm (RZ_AdminCarForm_VPP) has been registered!
14:2:42 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
14:2:42 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
14:2:42 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
14:2:42 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
14:2:42 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
14:2:42 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
14:2:42 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
14:2:42 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
14:2:42 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
14:2:42 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
14:2:42 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
14:2:42 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
14:2:42 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
14:2:42 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
14:2:42 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
14:2:42 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
14:2:42 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
14:2:42 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
14:2:42 | Building Sets Loaded: 3
14:2:42 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
14:4:5 | Player "BodyaBo" (steamId=76561199339736526) connected to server!
14:4:19 | Player "PieceDuck" (steamId=76561198161108074) connected to server!
14:5:11 | Player "VoMa" (steamId=76561198104182080) connected to server!
14:5:38 | Player "Potapycz" (steamId=76561199050258395) connected to server!
14:8:11 | Player "JN" (steamId=76561198046025798) connected to server!
14:8:14 | Player "DeDAnGeL" (steamId=76561198019222339) connected to server!
14:20:37 | Player "donhuan" (steamId=76561198138305012) connected to server!
14:24:13 | Player "DeDAnGeL" (steamId=76561198019222339) initiated disconnect process...
14:24:18 | Player "DeDAnGeL" (steamId=76561198019222339) disconnected from server.
14:25:44 | Player "ZhEkAn" (steamId=76561198300337064) connected to server!
14:27:21 | Player "Moon" (steamId=76561199485344583) connected to server!
14:27:41 | Player "DeDAnGeL" (steamId=76561198019222339) connected to server!
14:32:35 | Player "BodyaBo" (steamId=76561199339736526) initiated disconnect process...
14:32:40 | Player "BodyaBo" (steamId=76561199339736526) disconnected from server.
14:35:34 | Player "JN" (steamId=76561198046025798) initiated disconnect process...
14:36:7 | Player "JN" (steamId=76561198046025798) connected to server!
14:39:0 | Player "[BERSERKY]Taras" (steamId=76561198309039860) connected to server!
14:53:46 | Player "donhuan" (steamId=76561198138305012) initiated disconnect process...
14:53:51 | Player "donhuan" (steamId=76561198138305012) disconnected from server.
15:13:57 | "PieceDuck" (steamid=76561198161108074) toggled godmode
15:13:58 | "PieceDuck" (steamid=76561198161108074) toggled godmode
15:14:14 | "VoMa" (steamid=76561198104182080) Spawned Item: (TerjeInjectorZivirol)
15:14:14 | "VoMa" (steamid=76561198104182080) Spawned Item: (TerjeInjectorZivirol)
15:14:14 | "VoMa" (steamid=76561198104182080) Spawned Item: (TerjeInjectorZivirol)
15:14:23 | Player "donhuan" (steamId=76561198138305012) connected to server!
15:20:4 | "76561198104182080" (steamid=76561198104182080) teleported to (pos=<1500.689941, 319.712463, 9791.480469>)
15:20:4 | "VoMa": (steamid=76561198104182080) teleported to (pos=1500.69,0,9791.48)
15:20:13 | Player "Potapycz" (steamId=76561199050258395) initiated disconnect process...
15:20:18 | Player "Potapycz" (steamId=76561199050258395) disconnected from server.
15:20:44 | "76561198104182080" (steamid=76561198104182080) teleported to (pos=<8227.240234, 469.179993, 9032.549805>)
15:20:44 | "VoMa": (steamid=76561198104182080) teleported to (pos=8227.24,0,9032.55)
15:32:16 | Player "JN" (steamId=76561198046025798) initiated disconnect process...
15:32:18 | Player "JN" (steamId=76561198046025798) disconnected early from server (EXIT NOW).
15:32:21 | Player "JN" (steamId=76561198046025798) disconnected from server.
15:42:6 | Player "JN" (steamId=76561198046025798) connected to server!
15:58:9 | Player "donhuan" (steamId=76561198138305012) initiated disconnect process...
15:58:14 | Player "donhuan" (steamId=76561198138305012) disconnected early from server (EXIT NOW).
15:58:14 | Player "donhuan" (steamId=76561198138305012) disconnected from server.
16:0:16 | Player "BodyaBo" (steamId=76561199339736526) connected to server!
16:7:18 | Player "Potapycz" (steamId=76561199050258395) connected to server!
16:9:3 | Player "Moon" (steamId=76561199485344583) initiated disconnect process...
16:9:8 | Player "Moon" (steamId=76561199485344583) disconnected from server.
16:11:50 | Player "ZhEkAn" (steamId=76561198300337064) initiated disconnect process...
16:11:54 | Player "JN" (steamId=76561198046025798) initiated disconnect process...
16:11:55 | Player "ZhEkAn" (steamId=76561198300337064) disconnected from server.
16:11:59 | Player "JN" (steamId=76561198046025798) disconnected from server.
16:20:4 | Player "ZhEkAn" (steamId=76561198300337064) connected to server!
16:27:41 | "VoMa" (steamid=76561198104182080) Spawned Item: (ExpansionAmmoRPG)
16:27:44 | "VoMa" (steamid=76561198104182080) Spawned Item: (ExpansionAmmoRPG)
16:27:45 | "VoMa" (steamid=76561198104182080) Spawned Item: (ExpansionRPG7)
16:27:59 | "VoMa" (steamid=76561198104182080) deleted object "ExpansionRPG7" (pos=<8216.384766, 469.536591, 9032.554688>)
16:28:0 | "VoMa" (steamid=76561198104182080) deleted object "ExpansionAmmoRPG" (pos=<8216.384766, 469.358643, 9032.554688>)
16:35:53 | Player "PieceDuck" (steamId=76561198161108074) initiated disconnect process...
16:38:45 | Player "PieceDuck" (steamId=76561198161108074) connected to server!
16:49:14 | "PieceDuck" (steamid=76561198161108074) gave godmode to (steamid=76561198161108074)
16:50:21 | "PieceDuck" (steamid=76561198161108074) toggled freecam
16:51:11 | Player "VoMa" (steamId=76561198104182080) initiated disconnect process...
16:51:12 | Player "VoMa" (steamId=76561198104182080) disconnected early from server (EXIT NOW).
16:51:16 | Player "VoMa" (steamId=76561198104182080) disconnected from server.
16:53:12 | "PieceDuck" (steamid=76561198161108074) teleported to crosshair (pos=<1922.282959, 236.325089, 7001.147461>)
16:54:52 | "PieceDuck" (steamid=76561198161108074) teleported to crosshair (pos=<1969.705078, 241.986816, 7210.269531>)
16:56:49 | "PieceDuck" (steamid=76561198161108074) toggled freecam
16:57:6 | "76561198161108074" (steamid=76561198161108074) teleported to (pos=<3732.739990, 401.755920, 6012.930176>)
16:57:6 | "PieceDuck": (steamid=76561198161108074) teleported to (pos=3732.74,0,6012.93)
16:57:23 | Player "PieceDuck" (steamId=76561198161108074) initiated disconnect process...
16:57:23 | Player "PieceDuck" (steamId=76561198161108074) disconnected early from server (EXIT NOW).
16:57:28 | Player "PieceDuck" (steamId=76561198161108074) disconnected from server.
17:37:32 | Player "DeDAnGeL" (steamId=76561198019222339) initiated disconnect process...
17:37:37 | Player "DeDAnGeL" (steamId=76561198019222339) disconnected from server.
17:40:32 | Player "BodyaBo" (steamId=76561199339736526) initiated disconnect process...
17:40:37 | Player "BodyaBo" (steamId=76561199339736526) disconnected from server.
17:58:0 | Player "[BERSERKY]Taras" (steamId=76561198309039860) initiated disconnect process...
17:58:0 | Player "ZhEkAn" (steamId=76561198300337064) initiated disconnect process...
17:58:0 | Player "Potapycz" (steamId=76561199050258395) initiated disconnect process...
