=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-1-18_18-1-6
====================================================================================
18:1:6 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
18:40:8 | Player "Moon" (steamId=76561199485344583) connected to server!
19:3:16 | Player "BodyaBo" (steamId=76561199339736526) connected to server!
19:12:54 | Player "[BERSERKY] VoMa" (steamId=76561198104182080) initiated disconnect process...
19:12:56 | Player "[BERSERKY] VoMa" (steamId=76561198104182080) disconnected early from server (EXIT NOW).
19:12:59 | Player "[BERSERKY] VoMa" (steamId=76561198104182080) disconnected from server.
19:16:14 | Player "[BERSERKY] VoMa" (steamId=76561198104182080) connected to server!
19:30:3 | Player "ZhEkAn" (steamId=76561198300337064) initiated disconnect process...
19:30:8 | Player "ZhEkAn" (steamId=76561198300337064) disconnected from server.
19:30:29 | Player "ZhEkAn" (steamId=76561198300337064) connected to server!
19:35:47 | "[BERSERKY] VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<10828.930664, 168.403198, 9012.497070>)
19:35:48 | "[BERSERKY] VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<10824.704102, 172.035400, 8985.045898>)
19:35:51 | "[BERSERKY] VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<10806.419922, 178.573563, 8955.423828>)
19:36:28 | Player "Moon" (steamId=76561199485344583) initiated disconnect process...
19:36:33 | Player "Moon" (steamId=76561199485344583) disconnected from server.
19:41:40 | Player "Moon" (steamId=76561199485344583) connected to server!
19:43:36 | "[BERSERKY] VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<9928.272461, 275.614960, 8617.449219>)
19:43:38 | "[BERSERKY] VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<9915.898438, 274.490204, 8612.677734>)
19:43:44 | "[BERSERKY] VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<9888.443359, 271.401093, 8606.940430>)
19:43:45 | "[BERSERKY] VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<9851.751953, 267.633911, 8594.982422>)
19:43:48 | "[BERSERKY] VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<9808.287109, 262.888092, 8586.493164>)
19:43:51 | "[BERSERKY] VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<9791.101563, 263.031860, 8588.011719>)
19:43:54 | "[BERSERKY] VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<9752.653320, 258.454315, 8576.855469>)
19:47:29 | "[BERSERKY] VoMa" (steamid=76561198104182080) toggled godmode
20:19:32 | "[BERSERKY] VoMa" (steamid=76561198104182080) toggled godmode
20:28:23 | Player "Misha1120" (steamId=76561198278889068) initiated disconnect process...
20:28:24 | Player "Misha1120" (steamId=76561198278889068) aborted logout process [canceledLogout]
20:31:13 | Player "Misha1120" (steamId=76561198278889068) initiated disconnect process...
20:31:15 | Player "Misha1120" (steamId=76561198278889068) disconnected early from server (EXIT NOW).
20:31:18 | Player "Misha1120" (steamId=76561198278889068) disconnected from server.
20:34:48 | Player "[BERSERKY] VoMa" (steamId=76561198104182080) initiated disconnect process...
20:34:50 | Player "[BERSERKY] VoMa" (steamId=76561198104182080) disconnected early from server (EXIT NOW).
20:34:53 | Player "[BERSERKY] VoMa" (steamId=76561198104182080) disconnected from server.
20:35:40 | Player "Moon" (steamId=76561199485344583) initiated disconnect process...
20:35:45 | Player "Moon" (steamId=76561199485344583) disconnected from server.
20:40:16 | Player "Moon" (steamId=76561199485344583) connected to server!
20:42:50 | Player "[BERSERKY] VoMa" (steamId=76561198104182080) connected to server!
20:48:59 | Player "Survivor" (steamId=76561198172082902) connected to server!
20:58:53 | Player "Survivor" (steamId=76561198172082902) initiated disconnect process...
20:58:58 | Player "Survivor" (steamId=76561198172082902) disconnected from server.
21:21:59 | Player "[BERSERKY]DeDAnGeL" (steamId=76561198019222339) initiated disconnect process...
21:22:4 | Player "[BERSERKY]DeDAnGeL" (steamId=76561198019222339) disconnected from server.
21:22:35 | Player "[BERSERKY]DeDAnGeL" (steamId=76561198019222339) connected to server!
21:26:10 | Player "Survivor" (steamId=76561198352660315) connected to server!
21:28:46 | Player "Survivor" (steamId=76561198352660315) initiated disconnect process...
21:28:48 | Player "Survivor" (steamId=76561198352660315) disconnected early from server (EXIT NOW).
21:28:51 | Player "Survivor" (steamId=76561198352660315) disconnected from server.
21:29:2 | Player "Creek" (steamId=76561199140738583) connected to server!
21:33:4 | Player "Moon" (steamId=76561199485344583) initiated disconnect process...
21:33:9 | Player "Moon" (steamId=76561199485344583) disconnected from server.
21:41:56 | Player "Moon" (steamId=76561199485344583) connected to server!
21:44:44 | Player "[BERSERKY]DeDAnGeL" (steamId=76561198019222339) initiated disconnect process...
21:44:49 | Player "[BERSERKY]DeDAnGeL" (steamId=76561198019222339) disconnected from server.
21:45:15 | Player "[BERSERKY]DeDAnGeL" (steamId=76561198019222339) connected to server!
21:45:31 | Player "Moon" (steamId=76561199485344583) initiated disconnect process...
21:45:54 | Player "Moon" (steamId=76561199485344583) connected to server!
21:54:36 | Player "Creek" (steamId=76561199140738583) disconnected from server.
21:54:36 | Player "Creek" (steamId=76561199140738583) initiated disconnect process...
21:57:0 | Player "BodyaBo" (steamId=76561199339736526) initiated disconnect process...
21:57:0 | Player "ZhEkAn" (steamId=76561198300337064) initiated disconnect process...
21:57:0 | Player "[BERSERKY]Taras" (steamId=76561198309039860) initiated disconnect process...
21:57:0 | Player "PieceDuck" (steamId=76561198161108074) initiated disconnect process...
21:57:0 | Player "[BERSERKY] VoMa" (steamId=76561198104182080) initiated disconnect process...
21:57:0 | Player "Moon" (steamId=76561199485344583) initiated disconnect process...
21:57:0 | Player "[BERSERKY]DeDAnGeL" (steamId=76561198019222339) initiated disconnect process...
