=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-1-29_10-1-10
====================================================================================
10:1:10 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
10:1:10 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
10:1:10 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
10:1:10 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
10:1:10 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
10:1:10 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
10:1:10 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
10:1:10 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
10:1:10 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
10:1:10 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
10:1:10 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
10:1:10 | [PermissionManager] Perm (MenuBansManager) has been registered!
10:1:10 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
10:1:10 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
10:1:10 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
10:1:10 | [PermissionManager] Perm (MenuWebHooks) has been registered!
10:1:10 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
10:1:10 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
10:1:10 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
10:1:10 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
10:1:10 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
10:1:10 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
10:1:10 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
10:1:10 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
10:1:10 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
10:1:10 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
10:1:10 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
10:1:10 | [PermissionManager] Perm (EspToolsMenu) has been registered!
10:1:10 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
10:1:10 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
10:1:10 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
10:1:10 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
10:1:10 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
10:1:10 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
10:1:10 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
10:1:10 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
10:1:10 | [PermissionManager] Perm (TerjePlayerManager) has been registered!
10:1:10 | [PermissionManager] Adding Super Admin (76561198104182080)
10:1:10 | [PermissionManager] Loaded UserGroups.json
10:1:10 | [PermissionManager] Perm (RZ_AdminCarForm_VPP) has been registered!
10:1:10 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
10:1:10 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
10:1:10 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
10:1:10 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
10:1:10 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
10:1:10 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
10:1:10 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
10:1:10 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
10:1:10 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
10:1:10 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
10:1:10 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
10:1:10 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
10:1:10 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
10:1:10 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
10:1:10 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
10:1:10 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
10:1:10 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
10:1:10 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
10:1:10 | Building Sets Loaded: 3
10:1:10 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
10:10:56 | Player "ZhEkAn" (steamId=76561198300337064) connected to server!
11:30:58 | Player "ZhEkAn" (steamId=76561198300337064) initiated disconnect process...
11:31:3 | Player "ZhEkAn" (steamId=76561198300337064) disconnected from server.
11:31:30 | Player "ZhEkAn" (steamId=76561198300337064) connected to server!
12:2:23 | Player "[BERSERKY]DeDAnGeL" (steamId=76561198019222339) connected to server!
13:23:45 | Player "[BERSERKY]DeDAnGeL" (steamId=76561198019222339) initiated disconnect process...
13:23:50 | Player "[BERSERKY]DeDAnGeL" (steamId=76561198019222339) disconnected from server.
13:29:54 | Player "ZhEkAn" (steamId=76561198300337064) initiated disconnect process...
13:29:59 | Player "ZhEkAn" (steamId=76561198300337064) disconnected from server.
13:30:26 | Player "ZhEkAn" (steamId=76561198300337064) connected to server!
13:46:0 | Player "[BERSERKY]DeDAnGeL" (steamId=76561198019222339) connected to server!
13:48:3 | Player "[BERSERKY]Taras" (steamId=76561198309039860) connected to server!
13:57:21 | Player "VoMa" (steamId=76561198104182080) connected to server!
13:57:31 | "VoMa" (steamid=76561198104182080) /heal used on: "VoMa" (steamid=76561198104182080)
13:57:33 | "VoMa" (steamid=76561198104182080) toggled godmode
13:57:43 | "VoMa" (steamid=76561198104182080) toggled freecam
13:57:46 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<8814.796875, 207.799515, 2921.736084>)
13:57:47 | "VoMa" (steamid=76561198104182080) toggled freecam
13:58:0 | Player "[BERSERKY]Taras" (steamId=76561198309039860) initiated disconnect process...
13:58:0 | Player "VoMa" (steamId=76561198104182080) initiated disconnect process...
13:58:0 | Player "ZhEkAn" (steamId=76561198300337064) initiated disconnect process...
13:58:0 | Player "[BERSERKY]DeDAnGeL" (steamId=76561198019222339) initiated disconnect process...
