=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-1-5_13-51-9
====================================================================================
13:51:9 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
13:51:9 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
13:51:9 | [PermissionManager] Perm (FreeCamera) has been registered!
13:51:9 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
13:51:9 | [PermissionManager] Perm (MenuItemManager) has been registered!
13:51:9 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
13:51:9 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
13:51:9 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
13:51:9 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
13:51:9 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
13:51:9 | [PermissionManager] Perm (MenuServerManager) has been registered!
13:51:9 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
13:51:9 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
13:51:9 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
13:51:9 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
13:51:9 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
13:51:9 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
13:51:9 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
13:51:9 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
13:51:9 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
13:51:9 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
13:51:9 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
13:51:9 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
13:51:9 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
13:51:9 | [PermissionManager] Perm (MenuObjectManager) has been registered!
13:51:9 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
13:51:9 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
13:51:9 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
13:51:9 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
13:51:9 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
13:51:9 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
13:51:9 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
13:51:9 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
13:51:9 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
13:51:9 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
13:51:9 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
13:51:9 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
13:51:9 | [PermissionManager] Perm (MenuBansManager) has been registered!
13:51:9 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
13:51:9 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
13:51:9 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
13:51:9 | [PermissionManager] Perm (MenuWebHooks) has been registered!
13:51:9 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
13:51:9 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
13:51:9 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
13:51:9 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
13:51:9 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
13:51:9 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
13:51:9 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
13:51:9 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
13:51:9 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
13:51:9 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
13:51:9 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
13:51:9 | [PermissionManager] Perm (EspToolsMenu) has been registered!
13:51:9 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
13:51:9 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
13:51:9 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
13:51:9 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
13:51:9 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
13:51:9 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
13:51:9 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
13:51:9 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
13:51:9 | [PermissionManager] Adding Super Admin (76561198104182080)
13:51:9 | [PermissionManager] Loaded UserGroups.json
13:51:9 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
13:51:9 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
13:51:9 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
13:51:9 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
13:51:9 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
13:51:9 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
13:51:9 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
13:51:9 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
13:51:9 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
13:51:9 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
13:51:9 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
13:51:9 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
13:51:9 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
13:51:9 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
13:51:9 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
13:51:9 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
13:51:9 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
13:51:9 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
13:51:9 | Building Sets Loaded: 0
13:51:9 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
13:51:9 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
13:52:3 | Player "VoMa" (steamId=76561198104182080) connected to server!
13:52:20 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5762.758301, 314.433563, 8354.974609>)
13:52:21 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5751.169434, 315.587738, 8360.822266>)
13:52:21 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5740.282227, 316.791840, 8366.360352>)
13:52:21 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5726.922852, 318.195984, 8372.917969>)
13:52:22 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5711.752930, 319.522980, 8380.315430>)
13:52:22 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5697.000488, 320.826385, 8387.518555>)
13:52:22 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5682.472168, 322.149933, 8394.617188>)
13:52:22 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5666.350586, 323.415588, 8404.461914>)
13:52:22 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5651.741699, 324.187073, 8415.812500>)
13:52:23 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5634.043945, 324.919525, 8424.305664>)
13:52:23 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5615.298340, 325.766571, 8429.500000>)
13:52:24 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5587.374023, 327.073792, 8439.051758>)
13:52:24 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5558.495605, 328.335968, 8448.991211>)
13:52:24 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5538.529785, 329.624176, 8455.721680>)
13:52:24 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5525.360840, 330.570770, 8461.691406>)
13:52:25 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5506.216797, 330.698853, 8469.010742>)
13:52:25 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5496.446289, 330.979645, 8466.799805>)
13:52:26 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5485.636719, 331.155487, 8465.266602>)
13:52:26 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5477.801270, 332.150879, 8464.206055>)
13:52:27 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5466.833008, 332.808167, 8467.310547>)
13:52:28 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5452.629883, 332.016907, 8477.875977>)
13:52:31 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5440.944824, 330.867950, 8496.369141>)
13:52:31 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5435.547363, 330.539520, 8507.287109>)
13:52:32 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5430.334961, 330.476929, 8517.733398>)
13:52:43 | "VoMa" (steamid=76561198104182080) /heal used on: "VoMa" (steamid=76561198104182080)
13:52:49 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5388.656738, 339.623169, 8578.763672>)
13:53:23 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5355.891602, 338.808868, 8607.547852>)
13:53:46 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5313.997559, 340.283813, 8637.974609>)
13:53:47 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5310.143066, 340.582764, 8642.169922>)
13:53:48 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5307.653809, 340.775970, 8644.879883>)
13:53:48 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5305.441895, 340.974213, 8647.405273>)
13:53:49 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5303.626465, 341.208923, 8649.793945>)
13:53:49 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5301.623535, 341.345154, 8651.890625>)
13:53:57 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5307.377441, 340.350830, 8643.218750>)
13:53:57 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5313.416992, 340.394775, 8638.896484>)
13:53:57 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5318.964844, 340.507660, 8635.244141>)
13:53:58 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5324.259277, 340.659271, 8631.951172>)
13:53:58 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5349.238770, 339.433411, 8611.905273>)
13:54:8 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5322.922363, 340.571930, 8632.567383>)
